millis,lat,lon,speed_mph,heading_deg,accel_x_g,accel_y_g,accel_z_g
115419,NO_FIX,NO_FIX,0.00,0.0,0.3966,0.8615,0.3148
115919,NO_FIX,NO_FIX,0.00,0.0,0.3949,0.8518,0.3236
116419,NO_FIX,NO_FIX,0.00,0.0,0.3998,0.8544,0.3190
116919,NO_FIX,NO_FIX,0.00,0.0,0.3951,0.8542,0.3305
117419,NO_FIX,NO_FIX,0.00,0.0,0.3876,0.8562,0.3146
117919,NO_FIX,NO_FIX,0.00,0.0,0.3934,0.8549,0.3170
118419,NO_FIX,NO_FIX,0.00,0.0,0.4061,0.8493,0.3229
118919,NO_FIX,NO_FIX,0.00,0.0,0.3671,0.8408,0.3366
119419,NO_FIX,NO_FIX,0.00,0.0,0.3817,0.8557,0.3192
119919,NO_FIX,NO_FIX,0.00,0.0,0.3932,0.8518,0.3226
120419,NO_FIX,NO_FIX,0.00,0.0,0.3971,0.8501,0.3224
120919,NO_FIX,NO_FIX,0.00,0.0,0.3895,0.8608,0.3229
121419,NO_FIX,NO_FIX,0.00,0.0,0.3900,0.8566,0.3173
121919,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8620,0.3143
122419,NO_FIX,NO_FIX,0.00,0.0,0.3900,0.8488,0.3207
122919,NO_FIX,NO_FIX,0.00,0.0,0.3795,0.8649,0.3309
123419,NO_FIX,NO_FIX,0.00,0.0,0.4010,0.8566,0.3244
123919,NO_FIX,NO_FIX,0.00,0.0,0.3924,0.8513,0.3161
124419,NO_FIX,NO_FIX,0.00,0.0,0.3929,0.8562,0.3180
124919,NO_FIX,NO_FIX,0.00,0.0,0.3937,0.8510,0.3173
125419,NO_FIX,NO_FIX,0.00,0.0,0.3944,0.8530,0.3214
125919,NO_FIX,NO_FIX,0.00,0.0,0.3898,0.8496,0.3214
126419,NO_FIX,NO_FIX,0.00,0.0,0.3932,0.8540,0.3173
126919,NO_FIX,NO_FIX,0.00,0.0,0.3966,0.8532,0.3168
127419,NO_FIX,NO_FIX,0.00,0.0,0.3983,0.8544,0.3136
127919,NO_FIX,NO_FIX,0.00,0.0,0.3871,0.8542,0.3217
128419,NO_FIX,NO_FIX,0.00,0.0,0.3937,0.8549,0.3258
128919,NO_FIX,NO_FIX,0.00,0.0,0.3905,0.8552,0.3241
129419,NO_FIX,NO_FIX,0.00,0.0,0.4010,0.8518,0.3170
129919,NO_FIX,NO_FIX,0.00,0.0,0.3902,0.8549,0.3178
130419,NO_FIX,NO_FIX,0.00,0.0,0.3861,0.8562,0.3161
130919,NO_FIX,NO_FIX,0.00,0.0,0.4005,0.8508,0.3239
131419,NO_FIX,NO_FIX,0.00,0.0,0.4007,0.8457,0.3244
131919,NO_FIX,NO_FIX,0.00,0.0,0.3907,0.8510,0.3253
132419,NO_FIX,NO_FIX,0.00,0.0,0.3888,0.8576,0.3248
132919,NO_FIX,NO_FIX,0.00,0.0,0.3793,0.8557,0.3217
133419,NO_FIX,NO_FIX,0.00,0.0,0.3871,0.8549,0.3200
133919,NO_FIX,NO_FIX,0.00,0.0,0.3963,0.8476,0.3231
134419,NO_FIX,NO_FIX,0.00,0.0,0.4010,0.8493,0.3251
134919,NO_FIX,NO_FIX,0.00,0.0,0.3893,0.8549,0.3190
135419,NO_FIX,NO_FIX,0.00,0.0,0.3927,0.8586,0.3173
135919,NO_FIX,NO_FIX,0.00,0.0,0.3924,0.8608,0.3219
136419,NO_FIX,NO_FIX,0.00,0.0,0.3937,0.8530,0.3204
136919,NO_FIX,NO_FIX,0.00,0.0,0.3917,0.8574,0.3207
137419,NO_FIX,NO_FIX,0.00,0.0,0.3822,0.8576,0.3224
137919,NO_FIX,NO_FIX,0.00,0.0,0.3841,0.8496,0.3268
138419,NO_FIX,NO_FIX,0.00,0.0,0.3910,0.8554,0.3241
138919,NO_FIX,NO_FIX,0.00,0.0,0.3939,0.8518,0.3197
139419,NO_FIX,NO_FIX,0.00,0.0,0.3978,0.8420,0.3229
139919,NO_FIX,NO_FIX,0.00,0.0,0.3905,0.8525,0.3246
140419,NO_FIX,NO_FIX,0.00,0.0,0.3846,0.8610,0.3207
140919,NO_FIX,NO_FIX,0.00,0.0,0.3968,0.8496,0.3248
141419,NO_FIX,NO_FIX,0.00,0.0,0.3961,0.8552,0.3183
141919,NO_FIX,NO_FIX,0.00,0.0,0.3924,0.8515,0.3178
142419,NO_FIX,NO_FIX,0.00,0.0,0.3837,0.8571,0.3207
142919,NO_FIX,NO_FIX,0.00,0.0,0.3868,0.8591,0.3224
143419,NO_FIX,NO_FIX,0.00,0.0,0.3968,0.8542,0.3229
143919,NO_FIX,NO_FIX,0.00,0.0,0.3868,0.8552,0.3207
144419,NO_FIX,NO_FIX,0.00,0.0,0.4020,0.8410,0.3136
144919,NO_FIX,NO_FIX,0.00,0.0,0.3983,0.8581,0.3129
145419,NO_FIX,NO_FIX,0.00,0.0,0.4015,0.8562,0.3151
145919,NO_FIX,NO_FIX,0.00,0.0,0.4137,0.8513,0.3183
146419,NO_FIX,NO_FIX,0.00,0.0,0.3868,0.8554,0.3309
146919,NO_FIX,NO_FIX,0.00,0.0,0.3907,0.8549,0.3226
147419,NO_FIX,NO_FIX,0.00,0.0,0.3988,0.8564,0.3183
147919,NO_FIX,NO_FIX,0.00,0.0,0.3912,0.8581,0.3131
148419,NO_FIX,NO_FIX,0.00,0.0,0.3954,0.8630,0.3224
