timestamp,latitude,longitude,speed,heading
2062514,39.796125,-86.234901,18.82,179.8
2063015,39.796050,-86.234901,18.75,180.0
2063517,39.796050,-86.234901,18.75,180.0
2064017,39.795974,-86.234901,18.67,179.7
2064519,39.795974,-86.234901,18.67,179.7
2065019,39.795900,-86.234900,18.53,179.7
2065521,39.795900,-86.234900,18.53,179.7
2066021,39.795826,-86.234900,18.37,179.9
2066505,39.795826,-86.234900,18.37,179.9
2067006,39.795752,-86.234900,18.30,179.8
2067507,39.795752,-86.234900,18.30,179.8
2068008,39.795679,-86.234899,18.14,179.7
2068510,39.795679,-86.234899,18.14,179.7
2069011,39.795607,-86.234898,18.03,179.4
2069512,39.795607,-86.234898,18.03,179.4
2070013,39.795535,-86.234897,17.92,179.2
2070514,39.795535,-86.234897,17.92,179.2
2071015,39.795463,-86.234896,17.84,179.3
2071517,39.795463,-86.234896,17.84,179.3
2072018,39.795391,-86.234895,17.76,179.2
2072519,39.795391,-86.234895,17.76,179.2
2073019,39.795320,-86.234894,17.70,179.3
2073521,39.795320,-86.234894,17.70,179.3
2074021,39.795250,-86.234894,17.46,179.5
2074506,39.795250,-86.234894,17.46,179.5
2075006,39.795180,-86.234894,17.48,179.7
2075509,39.795180,-86.234894,17.48,179.7
2076009,39.795110,-86.234894,17.32,179.9
2076510,39.795110,-86.234894,17.32,179.9
2077010,39.795041,-86.234894,17.23,179.9
2077513,39.795041,-86.234894,17.23,179.9
2078013,39.794972,-86.234893,17.20,179.9
2078514,39.794972,-86.234893,17.20,179.9
2079015,39.794902,-86.234893,17.15,179.2
2079517,39.794902,-86.234893,17.15,179.2
2080017,39.794835,-86.234883,16.72,174.2
2080519,39.794835,-86.234883,16.72,174.2
2081019,39.794767,-86.234878,16.79,177.2
2081521,39.794767,-86.234878,16.79,177.2
2082021,39.794700,-86.234879,16.56,180.9
2082505,39.794700,-86.234879,16.56,180.9
2083006,39.794633,-86.234878,16.64,179.3
2083507,39.794633,-86.234878,16.64,179.3
2084008,39.794564,-86.234878,16.61,179.4
2084510,39.794564,-86.234878,16.61,179.4
2085011,39.794496,-86.234877,16.57,179.3
2085512,39.794496,-86.234877,16.57,179.3
2086013,39.794429,-86.234875,16.53,179.3
2086514,39.794429,-86.234875,16.53,179.3
2087015,39.794362,-86.234873,16.47,179.3
2087517,39.794362,-86.234873,16.47,179.3
2088018,39.794295,-86.234872,16.50,179.4
2088519,39.794295,-86.234872,16.50,179.4
2089019,39.794230,-86.234872,16.35,179.4
2089521,39.794230,-86.234872,16.35,179.4
2090021,39.794164,-86.234872,16.27,178.8
2090506,39.794164,-86.234872,16.27,178.8
2091006,39.794099,-86.234871,16.15,178.6
2091509,39.794099,-86.234871,16.15,178.6
2092009,39.794034,-86.234870,16.08,178.7
2092510,39.794034,-86.234870,16.08,178.7
2093010,39.793970,-86.234869,15.93,178.8
2093513,39.793970,-86.234869,15.93,178.8
2094013,39.793905,-86.234866,15.95,178.3
2094514,39.793905,-86.234866,15.95,178.3
2095014,39.793841,-86.234865,15.86,179.1
2095517,39.793841,-86.234865,15.86,179.1
2096017,39.793777,-86.234865,15.72,179.6
2096519,39.793777,-86.234865,15.72,179.6
2097019,39.793714,-86.234865,15.64,179.7
2097521,39.793714,-86.234865,15.64,179.7
2098021,39.793652,-86.234865,15.59,179.9
2098505,39.793652,-86.234865,15.59,179.9
2099006,39.793590,-86.234866,15.50,180.0
2099507,39.793590,-86.234866,15.50,180.0
2100008,39.793528,-86.234866,15.40,180.1
2100510,39.793528,-86.234866,15.40,180.1
2101011,39.793466,-86.234866,15.36,180.0
2101512,39.793466,-86.234866,15.36,180.0
2102013,39.793405,-86.234866,15.24,180.1
2102514,39.793405,-86.234866,15.24,180.1
2103015,39.793343,-86.234867,15.22,180.1
2103517,39.793343,-86.234867,15.22,180.1
2104018,39.793282,-86.234867,15.19,180.0
2104519,39.793282,-86.234867,15.19,180.0
2105019,39.793222,-86.234868,15.06,180.3
2105521,39.793222,-86.234868,15.06,180.3
2106021,39.793161,-86.234868,15.10,180.1
2106506,39.793161,-86.234868,15.10,180.1
2107006,39.793101,-86.234869,15.01,180.1
2107509,39.793101,-86.234869,15.01,180.1
2108009,39.793041,-86.234869,14.93,179.5
2108510,39.793041,-86.234869,14.93,179.5
2109010,39.792982,-86.234867,14.86,178.9
2109513,39.792982,-86.234867,14.86,178.9
2110013,39.792922,-86.234865,14.85,178.1
2110514,39.792922,-86.234865,14.85,178.1
2111015,39.792862,-86.234860,14.72,176.3
2111517,39.792862,-86.234860,14.72,176.3
2112017,39.792803,-86.234853,14.75,173.3
2112519,39.792803,-86.234853,14.75,173.3
2113019,39.792745,-86.234839,14.65,169.2
2113521,39.792745,-86.234839,14.65,169.2
2114021,39.792688,-86.234820,14.66,164.8
2114505,39.792688,-86.234820,14.66,164.8
2115006,39.792632,-86.234796,14.57,160.8
2115507,39.792632,-86.234796,14.57,160.8
2116008,39.792578,-86.234766,14.52,155.9
2116510,39.792578,-86.234766,14.52,155.9
2117011,39.792527,-86.234730,14.42,150.4
2117512,39.792527,-86.234730,14.42,150.4
2118013,39.792479,-86.234685,14.53,143.2
2118514,39.792479,-86.234685,14.53,143.2
2119015,39.792437,-86.234634,14.36,135.8
2119517,39.792437,-86.234634,14.36,135.8
2120018,39.792400,-86.234578,14.17,129.3
2120519,39.792400,-86.234578,14.17,129.3
2121019,39.792368,-86.234517,14.17,123.3
2121521,39.792368,-86.234517,14.17,123.3
2122021,39.792341,-86.234453,14.15,117.8
2122506,39.792341,-86.234453,14.15,117.8
2123006,39.792320,-86.234384,14.10,110.2
2123509,39.792320,-86.234384,14.10,110.2
2124009,39.792305,-86.234313,14.11,103.7
2124510,39.792305,-86.234313,14.11,103.7
2125010,39.792295,-86.234240,14.09,98.0
2125513,39.792295,-86.234240,14.09,98.0
2126013,39.792290,-86.234166,14.12,95.6
2126514,39.792290,-86.234166,14.12,95.6
2127015,39.792284,-86.234093,14.06,95.3
2127517,39.792284,-86.234093,14.06,95.3
2128017,39.792278,-86.234019,14.09,95.7
2128519,39.792278,-86.234019,14.09,95.7
2129019,39.792273,-86.233946,14.02,95.6
2129521,39.792273,-86.233946,14.02,95.6
2130021,39.792267,-86.233873,14.02,96.2
2130505,39.792267,-86.233873,14.02,96.2
2131006,39.792259,-86.233800,13.99,97.8
2131507,39.792259,-86.233800,13.99,97.8
2132008,39.792251,-86.233728,13.98,99.2
2132510,39.792251,-86.233728,13.98,99.2
2133011,39.792240,-86.233655,13.97,100.6
2133512,39.792240,-86.233655,13.97,100.6
2134013,39.792229,-86.233584,13.92,102.3
2134514,39.792229,-86.233584,13.92,102.3
2135015,39.792216,-86.233513,13.92,103.8
2135517,39.792216,-86.233513,13.92,103.8
2136018,39.792201,-86.233442,13.88,105.9
2136519,39.792201,-86.233442,13.88,105.9
2137019,39.792184,-86.233373,13.79,108.8
2137521,39.792184,-86.233373,13.79,108.8
2138021,39.792163,-86.233307,13.65,113.9
2138506,39.792163,-86.233307,13.65,113.9
2139006,39.792136,-86.233245,13.54,119.8
2139509,39.792136,-86.233245,13.54,119.8
2140009,39.792106,-86.233187,13.36,125.1
2140510,39.792106,-86.233187,13.36,125.1
2141010,39.792071,-86.233134,13.25,131.7
2141513,39.792071,-86.233134,13.25,131.7
2142013,39.792033,-86.233087,13.19,137.5
2142514,39.792033,-86.233087,13.19,137.5
2143015,39.791992,-86.233044,13.10,141.6
2143517,39.791992,-86.233044,13.10,141.6
2144017,39.791950,-86.233004,13.05,144.3
2144519,39.791950,-86.233004,13.05,144.3
2145019,39.791907,-86.232966,12.90,145.8
2145521,39.791907,-86.232966,12.90,145.8
2146021,39.791864,-86.232928,12.83,146.0
2146505,39.791864,-86.232928,12.83,146.0
2147006,39.791823,-86.232890,12.75,143.6
2147507,39.791823,-86.232890,12.75,143.6
2148008,39.791782,-86.232849,12.70,140.9
2148510,39.791782,-86.232849,12.70,140.9
2149011,39.791743,-86.232806,12.85,138.5
2149512,39.791743,-86.232806,12.85,138.5
2150013,39.791705,-86.232760,13.53,133.7
2150514,39.791705,-86.232760,13.53,133.7
2151015,39.791669,-86.232700,15.13,126.6
2151517,39.791669,-86.232700,15.13,126.6
2152018,39.791635,-86.232628,16.78,119.7
2152519,39.791635,-86.232628,16.78,119.7
2153019,39.791606,-86.232543,18.47,111.0
2153521,39.791606,-86.232543,18.47,111.0
2154021,39.791587,-86.232445,20.13,100.9
2154506,39.791587,-86.232445,20.13,100.9
2155006,39.791580,-86.232339,20.83,92.3
2155509,39.791580,-86.232339,20.83,92.3
2156009,39.791583,-86.232231,20.76,85.5
2156510,39.791583,-86.232231,20.76,85.5
2157010,39.791592,-86.232124,20.70,83.5
2157513,39.791592,-86.232124,20.70,83.5
2158013,39.791601,-86.232018,20.62,82.9
2158514,39.791601,-86.232018,20.62,82.9
2159014,39.791611,-86.231911,20.54,83.4
2159517,39.791611,-86.231911,20.54,83.4
2160017,39.791616,-86.231805,20.47,87.9
2160519,39.791616,-86.231805,20.47,87.9
2161019,39.791613,-86.231700,20.40,93.2
2161521,39.791613,-86.231700,20.40,93.2
2162021,39.791600,-86.231595,20.36,101.4
2162505,39.791600,-86.231595,20.36,101.4
2163006,39.791577,-86.231494,20.23,108.8
2163507,39.791577,-86.231494,20.23,108.8
2164008,39.791543,-86.231397,20.35,116.2
2164510,39.791543,-86.231397,20.35,116.2
2165011,39.791500,-86.231307,20.30,124.3
2165512,39.791500,-86.231307,20.30,124.3
2166013,39.791447,-86.231226,20.23,132.5
2166514,39.791447,-86.231226,20.23,132.5
2167015,39.791388,-86.231157,19.60,141.0
2167517,39.791388,-86.231157,19.60,141.0
2168018,39.791323,-86.231098,19.71,147.8
2168519,39.791323,-86.231098,19.71,147.8
2169019,39.791253,-86.231052,19.56,155.4
2169521,39.791253,-86.231052,19.56,155.4
2170021,39.791179,-86.231018,19.47,163.0
2170506,39.791179,-86.231018,19.47,163.0
2171006,39.791102,-86.230997,19.38,170.3
2171509,39.791102,-86.230997,19.38,170.3
2172009,39.791025,-86.230988,19.36,177.2
2172510,39.791025,-86.230988,19.36,177.2
2173010,39.790948,-86.230990,19.07,182.8
2173513,39.790948,-86.230990,19.07,182.8
2174013,39.790872,-86.230999,19.03,186.7
2174514,39.790872,-86.230999,19.03,186.7
2175015,39.790796,-86.231013,18.88,188.6
2175517,39.790796,-86.231013,18.88,188.6
2176017,39.790721,-86.231028,18.86,189.4
2176519,39.790721,-86.231028,18.86,189.4
2177019,39.790646,-86.231043,18.76,188.9
2177521,39.790646,-86.231043,18.76,188.9
2178021,39.790572,-86.231058,18.59,188.5
2178505,39.790572,-86.231058,18.59,188.5
2179006,39.790498,-86.231071,18.56,188.3
2179507,39.790498,-86.231071,18.56,188.3
2180008,39.790424,-86.231085,18.60,188.4
2180510,39.790424,-86.231085,18.60,188.4
2181011,39.790350,-86.231099,18.48,188.6
2181512,39.790350,-86.231099,18.48,188.6
2182013,39.790276,-86.231114,18.46,188.4
2182514,39.790276,-86.231114,18.46,188.4
2183015,39.790204,-86.231128,18.25,188.8
2183517,39.790204,-86.231128,18.25,188.8
2184018,39.790131,-86.231142,18.31,188.5
2184519,39.790131,-86.231142,18.31,188.5
2185019,39.790058,-86.231156,18.35,188.4
2185521,39.790058,-86.231156,18.35,188.4
