millis,lat,lon,speed_mph,heading_deg,accel_x_g,accel_y_g,accel_z_g
4338004,39.800531,-86.237448,19.55,33.3,0.3251,0.4225,0.6541
4338504,39.800599,-86.237388,20.74,35.1,0.9921,-0.2011,0.6838
4339004,39.800599,-86.237388,20.74,35.1,0.4427,0.4227,1.3057
4339504,39.800666,-86.237324,20.58,36.6,0.0647,0.2197,0.8757
4340004,39.800666,-86.237324,20.58,36.6,0.9909,0.2175,0.9613
4340504,39.800731,-86.237258,20.45,39.4,0.8137,0.3473,0.9789
4341004,39.800731,-86.237258,20.45,39.4,0.7134,0.5628,1.0246
4341504,39.800792,-86.237188,20.30,42.8,0.1459,0.1926,0.8725
4342004,39.800792,-86.237188,20.30,42.8,0.0610,0.5218,0.8932
4342504,39.800848,-86.237113,20.09,47.2,0.3187,0.3663,0.7048
4343004,39.800848,-86.237113,20.09,47.2,0.1206,0.1499,0.8320
4343504,39.800899,-86.237033,19.97,51.8,-0.2607,0.4339,1.5071
4344004,39.800899,-86.237033,19.97,51.8,0.1157,0.5716,1.4204
4344504,39.800945,-86.236948,19.79,55.9,-0.0178,0.3629,0.9033
4345004,39.800945,-86.236948,19.79,55.9,-0.3363,0.2619,0.6638
4345504,39.800986,-86.236861,19.61,59.3,0.1643,0.2738,0.7685
4346004,39.800986,-86.236861,19.61,59.3,0.6177,0.5887,1.9432
4346504,39.801024,-86.236772,19.49,62.4,-0.0403,0.3085,0.7497
4347004,39.801024,-86.236772,19.49,62.4,-0.3602,0.6209,1.3531
4347504,39.801059,-86.236681,19.32,63.9,0.6216,0.2070,1.2872
4348004,39.801059,-86.236681,19.32,63.9,-0.0039,0.0898,0.4095
4348504,39.801091,-86.236589,19.24,65.2,-0.0056,0.3519,1.2254
4349004,39.801091,-86.236589,19.24,65.2,0.2026,0.5047,0.8693
4349504,39.801123,-86.236497,19.13,66.3,0.1272,0.4791,1.4077
4350004,39.801123,-86.236497,19.13,66.3,0.1091,0.4159,0.9538
4350504,39.801152,-86.236405,19.07,68.5,0.0527,0.1240,0.4618
4351004,39.801152,-86.236405,19.07,68.5,0.3959,0.0137,1.1027
4351504,39.801175,-86.236310,19.00,74.2,0.0144,0.2531,0.9860
4352004,39.801175,-86.236310,19.00,74.2,-0.6033,0.4989,1.5459
4352504,39.801190,-86.236213,18.78,80.6,-0.1062,0.2109,0.8086
4353004,39.801190,-86.236213,18.78,80.6,0.6480,0.4598,1.5930
4353504,39.801194,-86.236115,18.88,89.7,0.2028,0.0281,0.3414
4354004,39.801194,-86.236115,18.88,89.7,-0.0903,0.1992,1.3345
4354504,39.801184,-86.236018,18.79,100.1,-0.0825,0.1733,0.2960
4355004,39.801184,-86.236018,18.79,100.1,0.0134,0.2594,1.7089
4355504,39.801161,-86.235926,18.70,110.5,0.2035,0.0905,0.2455
4356004,39.801161,-86.235926,18.70,110.5,0.3029,0.2736,1.2247
4356504,39.801126,-86.235840,18.57,120.4,-0.1274,0.4227,0.9962
4357004,39.801126,-86.235840,18.57,120.4,0.2843,0.0998,0.0957
4357504,39.801080,-86.235764,18.50,129.9,0.0088,0.6968,1.9820
4358004,39.801080,-86.235764,18.50,129.9,-0.1569,0.0649,0.5277
4358504,39.801026,-86.235698,18.39,138.3,-0.2243,0.1965,0.6529
4359004,39.801026,-86.235698,18.39,138.3,0.2694,0.1601,1.5227
4359504,39.800965,-86.235643,18.19,146.7,-0.0359,0.3407,0.5535
4360004,39.800965,-86.235643,18.19,146.7,0.1413,0.4027,1.0363
4360504,39.800900,-86.235599,18.07,154.2,0.4161,0.3495,1.2806
4361004,39.800900,-86.235599,18.07,154.2,0.4288,0.5931,1.4939
4361504,39.800832,-86.235566,18.00,160.9,-0.0488,0.1491,0.3190
4362004,39.800832,-86.235566,18.00,160.9,-0.3431,0.1752,0.7622
4362504,39.800762,-86.235540,17.93,166.2,0.2419,0.1738,0.9167
4363004,39.800762,-86.235540,17.93,166.2,0.3902,0.3832,1.1495
4363504,39.800690,-86.235523,17.84,170.7,0.3139,0.3175,0.6158
4364004,39.800690,-86.235523,17.84,170.7,0.2914,0.2392,0.4913
4364504,39.800618,-86.235510,17.73,172.5,0.0027,0.3351,0.8447
4365004,39.800618,-86.235510,17.73,172.5,-0.0691,0.3373,1.3308
4365504,39.800547,-86.235499,17.63,173.9,0.0862,0.5372,1.6359
4366004,39.800547,-86.235499,17.63,173.9,0.1496,0.3187,1.3592
4366504,39.800476,-86.235488,17.50,173.4,0.3392,0.1633,0.6446
4367004,39.800476,-86.235488,17.50,173.4,-0.5003,0.5438,2.0320
4367504,39.800406,-86.235478,17.35,173.7,0.2399,0.0476,0.3822
4368004,39.800406,-86.235478,17.35,173.7,-0.1335,-0.0449,0.7632
4368504,39.800336,-86.235468,17.23,174.1,0.0686,0.3446,0.6629
4369004,39.800336,-86.235468,17.23,174.1,0.0430,0.0969,0.5565
4369504,39.800267,-86.235459,17.11,174.6,-0.0369,0.2775,0.5235
4370004,39.800267,-86.235459,17.11,174.6,0.1647,0.0405,0.6067
4370504,39.800199,-86.235451,17.05,175.0,0.1174,0.1569,0.4386
4371004,39.800199,-86.235451,17.05,175.0,0.3375,0.1784,0.4681
4371504,39.800130,-86.235443,16.96,175.1,0.0644,0.4923,1.1063
4372004,39.800130,-86.235443,16.96,175.1,0.2531,0.3895,1.2584
4372504,39.800062,-86.235435,16.81,175.0,0.1952,0.4825,1.4514
4373004,39.800062,-86.235435,16.81,175.0,0.6092,0.2362,1.4800
4373504,39.799995,-86.235426,16.67,174.4,0.0229,0.7310,1.8121
4374004,39.799995,-86.235426,16.67,174.4,0.4447,0.1862,0.5003
4374504,39.799928,-86.235417,16.55,173.9,-0.0759,0.4054,0.8796
4375004,39.799928,-86.235417,16.55,173.9,-0.2511,0.2711,1.1720
